,AGOP,PCA,MI,SHAP
cat__GarageType_BuiltIn,0.019314224,0.00017477386015136547,0.017746452976627358,113.13326756920694
cat__LotConfig_Inside,0.01913752,9.598079662125722e-06,0.023278596895092596,219.59732814283703
cat__MasVnrType_None,0.018708259,0.0007571460368031923,0.08112067067737083,426.40862246718024
cat__FireplaceQu_None,0.018220996,0.0005690000944157722,0.17626086925912987,81.67834392836771
cat__LotConfig_FR2,0.018057248,9.701749341528666e-06,0.0017526973489954134,72.65324502354454
cat__Exterior2nd_MetalSd,0.01779365,0.00016855485360566655,0.029510938016690913,109.235822006992
cat__Neighborhood_IDOTRR,0.017342513,0.00018184096264031534,0.014960910406799588,45.183682808932225
cat__Exterior1st_Plywood,0.015828129,2.4704617447104087e-07,0.013709467414189769,106.06698578410416
cat__Exterior1st_MetalSd,0.01572416,0.00018426499040915956,0.04045088649491024,127.08236023116443
cat__HeatingQC_Fa,0.015717177,0.0001601366641102914,0.02017932327674199,48.254984803082316
cat__Neighborhood_ClearCr,0.015673842,1.1442806375099453e-06,0.0,30.058645583618716
cat__SaleType_CWD,0.015647503,6.089993834319068e-07,0.00186859088413871,0.0
cat__BsmtFinType1_LwQ,0.015620527,7.791108075398649e-05,0.016870015436377672,106.4313495291094
cat__BsmtFinType2_ALQ,0.015086557,5.8020872133503e-09,0.0,13.235625535102654
cat__HouseStyle_1.5Fin,0.014138792,0.0003823407560725628,0.039964501708635414,181.42138415025687
cat__GarageType_Detchd,0.014035632,0.0008007760005543691,0.12042992540442676,134.25441952054777
cat__MSSubClass_20,0.014030018,3.88355888282534e-05,0.005234142949748666,370.38244941495384
cat__Condition1_PosN,0.0136497365,1.1362660699147313e-05,0.0,10.437075556507088
cat__Condition1_RRAe,0.013456095,9.05940765755362e-07,0.009148405366464107,13.416295358875704
cat__HeatingQC_Gd,0.013321258,8.209832646954692e-05,0.009365307937653888,187.03277033390412
cat__GarageFinish_Fin,0.012924122,0.0007049159106421003,0.09699192778573051,113.7261104987159
cat__Neighborhood_SawyerW,0.012684248,6.639186007262256e-06,0.00509451387613713,94.0692376926369
cat__FireplaceQu_Ex,0.01261628,8.656380295063489e-05,0.0162179466165,39.99750481592442
cat__GarageQual_TA,0.012432264,0.0006361027182546564,0.042417273890451135,89.81113953695788
cat__GarageType_Attchd,0.012296138,0.000906592870983116,0.11384527893402474,137.22108096104446
cat__Fence_GdPrv,0.012164503,2.894134707670692e-06,0.015701634990012536,42.02369747074761
cat__MasVnrType_Stone,0.012022181,0.0004228959403671858,0.05441557446380285,60.52386904252306
cat__GarageQual_Fa,0.011761716,0.00020670187958444393,0.011881084509603568,47.22461547517152
cat__Functional_Min1,0.0117420675,3.306303524542255e-05,0.0,12.669166916381275
cat__Fence_MnPrv,0.011720298,0.00011153936580652258,0.010942582042129612,51.86023635487993
cat__FireplaceQu_TA,0.011566327,0.00012730474711961678,0.06221754759563991,52.30995398116421
cat__HouseStyle_SLvl,0.011420578,2.595175405740422e-10,0.012229778094174248,19.61634920804757
cat__Functional_Maj1,0.010691066,1.4531325208633825e-06,0.008259100558676735,37.30344770262557
cat__FireplaceQu_Fa,0.010534023,1.095146006823597e-07,0.0,36.95542089397885
cat__LotConfig_Corner,0.010361813,1.2667212790991996e-05,0.009048217747324783,47.337634935074384
cat__Neighborhood_OldTown,0.00979765,0.00042925779666544623,0.028500233031493405,103.84789982876724
cat__Neighborhood_BrDale,0.009625752,2.169454851119508e-05,0.02525124022647396,33.70317000214039
cat__Exterior2nd_Wd Shng,0.009619116,3.189632857225334e-05,0.0,29.4223493329056
cat__Condition1_Feedr,0.009353368,6.820788882256354e-05,0.01574440915659725,77.67065771261417
cat__FireplaceQu_Po,0.009299308,1.2171094061540724e-05,0.015192948966595399,38.099661458333635
