,AGOP,PCA,MI,SHAP,Perm
cat__BsmtExposure_Av,0.022779,0.0002249771804444,0.033715497176501,137.0921995933215,3286150.4
cat__Exterior1st_HdBoard,0.022721646,9.664570707463686e-06,0.029894190114978,296.1373082013414,4347124.8
cat__Neighborhood_MeadowV,0.02258888,7.93386671290956e-06,0.0150233791735852,23.386775167665537,132536.0
cat__BsmtFinType2_BLQ,0.022389319,5.828634327001465e-06,0.0020188685711868,51.30706428367623,193606.4
cat__Functional_Mod,0.02230488,2.5716504632066256e-05,0.0,5.316085206192929,121131.2
cat__Exterior2nd_VinylSd,0.020522952,0.0009675942747627,0.0900244731096895,416.22477602383015,5824208.0
cat__LandSlope_Mod,0.020331485,8.808226695141514e-06,0.0184447176993245,102.83696912457164,547753.6
cat__MSSubClass_50,0.020209594,0.0003383532100901,0.0448247306294777,196.245415614298,937078.4
cat__Neighborhood_Mitchel,0.019826492,9.460068291800828e-07,0.012850922606193,55.0817773972601,925075.2
cat__RoofStyle_Hip,0.019315226,6.721156845787997e-05,0.0101561955481754,213.6680119149542,262044.8
cat__GarageType_BuiltIn,0.019314224,0.0001747738601513,0.0177464529766273,113.13326756920694,6462432.0
cat__LotConfig_Inside,0.01913752,9.598079662125722e-06,0.0232785968950925,219.59732814283703,2433905.6
cat__MasVnrType_None,0.018708259,0.0007571460368031,0.0811206706773708,426.4086224671802,3103516.8
cat__FireplaceQu_None,0.018220996,0.0005690000944157,0.1762608692591298,81.67834392836771,3313742.4
cat__LotConfig_FR2,0.018057248,9.701749341528666e-06,0.0017526973489954,72.65324502354454,704499.2
cat__Exterior2nd_MetalSd,0.01779365,0.0001685548536056,0.0295109380166909,109.235822006992,1367024.0
cat__Neighborhood_IDOTRR,0.017342513,0.0001818409626403,0.0149609104067995,45.18368280893223,93155.2
cat__Exterior1st_Plywood,0.015828129,2.470461744710409e-07,0.0137094674141897,106.06698578410416,1705256.0
cat__Exterior1st_MetalSd,0.01572416,0.0001842649904091,0.0404508864949102,127.08236023116444,1316892.8
