,AGOP,PCA,MI,SHAP,Perm
cat__Condition1_PosA,0.0060024336,1.6360129235426096e-06,0.01550736011886,4.026006688784228,57569.6
cat__BsmtFinType1_Rec,0.005795421,0.0001325749772533,0.0276331983624693,27.37561934574807,320980.8
cat__Functional_Maj2,0.0057860333,1.4748186430657707e-05,0.0,1.4076121040239766,60843.2
cat__BsmtFinType1_BLQ,0.0057247053,8.684896562010202e-05,0.0166810625351798,40.170303974029615,316857.6
cat__LandContour_Low,0.005711687,9.115555487855528e-07,0.0,28.526876730165377,193368.0
cat__Functional_Min2,0.0056432746,4.787772338505435e-05,0.0102932241816044,46.60518717893864,256624.0
cat__BsmtExposure_Mn,0.005508108,2.460718649619034e-06,0.0122766010400436,79.03854270119865,412331.2
cat__Exterior1st_BrkComm,0.0052370355,1.5769200156061007e-05,0.0023094844045383,0.0,7084.8
cat__SaleCondition_Alloca,0.004929981,4.798583066147889e-06,0.0025214528202581,11.371191870005722,3492.8
cat__Neighborhood_Blmngtn,0.0049097054,5.305751334806058e-05,0.0051412627308944,10.2726459581905,287936.0
cat__SaleType_ConLD,0.0048883692,1.8503891223949422e-05,0.0,4.424000570776446,-13003.2
cat__Foundation_BrkTil,0.004819346,0.0005191655450493,0.0133903277141711,80.3527805008563,739560.0
cat__MSZoning_C (all),0.0047429716,3.644832470516349e-05,0.0020312290521775,8.787020637128997,25702.4
cat__Exterior2nd_BrkFace,0.0045756977,3.0345192890354946e-07,0.0,27.495640785531133,135800.0
cat__GarageCond_TA,0.0042951484,0.0006645099109218,0.0716953988882556,44.81910527254553,545171.2
cat__MasVnrType_BrkCmn,0.004249235,3.64578477879835e-06,0.0101761207266035,3.8464748323344686,140198.4
cat__RoofMatl_CompShg,0.004208735,9.492940015057648e-07,0.0,3.1373931934931223,29740.8
cat__Condition1_RRAn,0.004198864,8.327048512197259e-06,0.0041191898496475,9.458636558219135,72164.8
cat__Exterior2nd_ImStucc,0.0041578007,7.420520674701284e-06,0.0019496731837047,7.06575813356164,15502.4
cat__KitchenQual_Fa,0.0041512176,0.0002613259011548,0.0189352346430351,14.345263110017292,83241.6
cat__BsmtFinType2_Rec,0.0035924406,1.200645333826348e-05,0.0,15.103525738441707,45521.6
cat__HouseStyle_SFoyer,0.0035241046,4.783124657112456e-06,0.0147173785181238,31.46652252782538,73816.0
cat__MSSubClass_80,0.0035019882,1.7685022614201076e-07,0.0101560179974622,16.218511700912977,99849.6
cat__MSSubClass_90,0.003466806,8.371521366902997e-05,0.0171733170644003,10.992332191780728,145769.6
cat__BldgType_Duplex,0.0034668057,8.371521366902997e-05,0.0289485712816577,11.098821186500768,145880.0
cat__GarageCond_None,0.002989435,0.0004500867681482,0.0755838836785522,34.517679865867265,177657.6
cat__GarageType_None,0.002989435,0.0004500867681482,0.072245671790925,34.44881423016564,177667.2
cat__GarageFinish_None,0.002989435,0.0004500867681482,0.0483311750627375,34.939574361444095,177648.0
cat__GarageQual_None,0.002989435,0.0004500867681482,0.0727493758871322,34.34281417665488,177691.2
cat__Neighborhood_Gilbert,0.0029106198,0.0001131512630691,0.0355827924006499,10.793444170947332,87531.2
cat__GarageType_CarPort,0.0028609983,2.244153995162485e-05,0.0185997208441717,2.174859731735169,93804.8
cat__LotConfig_FR3,0.0027884939,2.7476272635513537e-06,0.0035674237415197,4.333528146404094,25817.6
cat__MSSubClass_190,0.0027366972,0.0001376778593808,0.0039851519470566,2.3880098102169005,3486.4
cat__BldgType_2fmCon,0.0025883582,0.0001441042561769,0.0163599067931468,4.023994898687253,7636.8
cat__BsmtQual_Fa,0.0025530602,0.0001352565391555,0.0033829670851568,14.427616438356202,86084.8
cat__Neighborhood_NoRidge,0.0024722572,0.0001589567220635,0.0549605285888097,27.404279287956506,198340.8
cat__RoofStyle_Flat,0.0023712653,1.6280996743996814e-06,0.0153660503042756,0.8859111907819901,51566.4
cat__GarageCond_Gd,0.002341246,1.4571985695191814e-06,0.0026048785411021,2.073383597317128,122758.4
cat__LandSlope_Sev,0.0023104812,4.960982505352629e-07,0.0,2.7861207905250804,2569.6
cat__MSSubClass_120,0.0022431072,0.0001481034996553,0.0161213544976093,10.549023401826572,169108.8
cat__Neighborhood_SWISU,0.0020465185,5.6642957819354006e-05,0.0066945859946574,9.652918575199587,63020.8
cat__PavedDrive_P,0.0018995216,7.147385317894976e-05,0.0022806317456363,1.6692259738869288,87942.4
cat__GarageQual_Ex,0.0018157096,3.686876343950096e-06,0.0,0.0,3230.4
cat__Exterior1st_AsbShng,0.0017511261,0.0001228094824064,0.0137948814587769,1.6066663099315093,74929.6
cat__Fence_MnWw,0.0017150881,1.280372317082922e-05,0.0,1.688137289526254,99320.0
cat__MiscFeature_None,0.0017026182,2.238772045148924e-05,0.0146685101913022,22.668899900114155,95366.4
cat__GarageType_Basment,0.00168258,3.4803296907416102e-06,0.0,3.529445383847048,60651.2
